object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,27.0,710.0,0.0,717.0,5.0,712.5926,1.5555556
1,0,2,0,Callose,1.0,0.0,26.0,729.0,12.0,735.0,18.0,731.5,14.769231
2,0,3,0,Callose,1.0,0.0,210.0,699.0,26.0,714.0,49.0,705.8619,37.590477
3,0,4,0,Callose,1.0,0.0,25.0,727.0,30.0,732.0,36.0,729.08,32.44
4,0,5,0,Callose,1.0,0.0,43.0,699.0,50.0,706.0,59.0,702.1163,54.186047
5,0,6,0,Callose,1.0,0.0,82.0,481.0,66.0,490.0,82.0,484.97562,73.92683
6,0,7,0,Callose,1.0,0.0,143.0,695.0,97.0,708.0,113.0,701.05597,104.83916
7,0,8,0,Callose,1.0,0.0,39.0,472.0,131.0,478.0,139.0,474.69232,134.38461
8,0,9,0,Callose,1.0,0.0,52.0,732.0,132.0,740.0,142.0,735.88464,136.67308
9,0,10,0,Callose,1.0,0.0,42.0,107.0,146.0,114.0,154.0,109.42857,149.2619
10,0,11,0,Callose,1.0,0.0,23.0,27.0,147.0,32.0,154.0,29.173914,150.08696
11,0,12,0,Callose,1.0,0.0,63.0,693.0,148.0,703.0,156.0,697.84125,151.34921
12,0,13,0,Callose,1.0,0.0,82.0,694.0,163.0,704.0,174.0,699.03656,167.80487
13,0,14,0,Callose,1.0,0.0,58.0,755.0,163.0,766.0,171.0,760.37933,166.72414
14,0,15,0,Callose,1.0,0.0,35.0,312.0,183.0,317.0,194.0,314.3143,188.17143
15,0,16,0,Callose,1.0,0.0,34.0,222.0,186.0,227.0,197.0,223.97058,190.88235
16,0,17,0,Callose,1.0,0.0,58.0,678.0,195.0,686.0,205.0,681.9655,199.31035
17,0,18,0,Callose,1.0,0.0,108.0,673.0,211.0,683.0,225.0,678.2315,217.96297
18,0,19,0,Callose,1.0,0.0,47.0,756.0,219.0,762.0,228.0,758.55316,222.80852
19,0,20,0,Callose,1.0,0.0,39.0,692.0,239.0,700.0,246.0,695.46155,241.92308
20,0,21,0,Callose,1.0,0.0,25.0,627.0,245.0,632.0,251.0,629.08,247.44
21,0,22,0,Callose,1.0,0.0,59.0,676.0,255.0,684.0,265.0,679.45764,258.91525
22,0,23,0,Callose,1.0,0.0,163.0,690.0,255.0,705.0,272.0,696.5828,263.9264
23,0,24,0,Callose,1.0,0.0,53.0,95.0,283.0,100.0,296.0,96.886795,288.8113
24,0,25,0,Callose,1.0,0.0,61.0,516.0,329.0,522.0,343.0,518.082,336.2131
25,0,26,0,Callose,1.0,0.0,178.0,671.0,337.0,695.0,352.0,680.89886,343.17416
26,0,27,0,Callose,1.0,0.0,28.0,425.0,341.0,431.0,350.0,427.07144,344.5357
27,0,28,0,Callose,1.0,0.0,135.0,679.0,364.0,692.0,379.0,684.3259,369.65927
28,0,29,0,Callose,1.0,0.0,248.0,658.0,411.0,674.0,436.0,665.75806,423.62097
29,0,30,0,Callose,1.0,0.0,41.0,734.0,436.0,741.0,444.0,737.3415,439.17075
30,0,31,0,Callose,1.0,0.0,201.0,683.0,439.0,697.0,461.0,689.9353,449.66666
31,0,32,0,Callose,1.0,0.0,87.0,587.0,441.0,598.0,456.0,591.5747,447.17242
32,0,33,0,Callose,1.0,0.0,32.0,733.0,449.0,740.0,454.0,735.90625,451.0625
33,0,34,0,Callose,1.0,0.0,273.0,671.0,503.0,686.0,533.0,677.4469,518.6117
34,0,35,0,Callose,1.0,0.0,202.0,641.0,560.0,657.0,579.0,648.69305,568.8267
35,0,36,0,Callose,1.0,0.0,86.0,669.0,576.0,679.0,588.0,672.9535,581.4535
36,0,37,0,Callose,1.0,0.0,35.0,721.0,587.0,727.0,594.0,723.3143,589.9143
37,0,38,0,Callose,1.0,0.0,161.0,667.0,597.0,677.0,623.0,671.79504,610.2112
38,0,39,0,Callose,1.0,0.0,43.0,90.0,600.0,97.0,609.0,93.0,603.7442
39,0,40,0,Callose,1.0,0.0,58.0,388.0,605.0,394.0,617.0,390.43103,610.7931
40,0,41,0,Callose,1.0,0.0,138.0,647.0,612.0,659.0,631.0,653.0,621.2754
41,0,42,0,Callose,1.0,0.0,32.0,86.0,625.0,92.0,632.0,88.625,628.09375
42,0,43,0,Callose,1.0,0.0,22.0,705.0,698.0,710.0,703.0,706.9091,700.0909
43,0,44,0,Callose,1.0,0.0,220.0,616.0,702.0,637.0,725.0,625.5909,713.3909
44,0,45,0,Callose,1.0,0.0,100.0,640.0,707.0,650.0,720.0,644.44,712.47
45,0,46,0,Callose,1.0,0.0,37.0,698.0,712.0,704.0,719.0,700.4595,714.7838
46,0,47,0,Callose,1.0,0.0,25.0,114.0,728.0,120.0,733.0,116.24,729.8
47,0,48,0,Callose,1.0,0.0,62.0,637.0,729.0,644.0,740.0,640.129,734.19354
48,0,49,0,Callose,1.0,0.0,21.0,764.0,759.0,769.0,764.0,766.0,761.0
49,0,50,0,Callose,1.0,0.0,65.0,361.0,788.0,367.0,803.0,363.35385,794.53845
50,0,51,0,Callose,1.0,0.0,32.0,773.0,798.0,777.0,808.0,774.5,802.9375
51,0,52,0,Callose,1.0,0.0,32.0,88.0,804.0,93.0,812.0,89.8125,807.5
52,0,53,0,Callose,1.0,0.0,51.0,755.0,830.0,762.0,839.0,757.96075,834.13727
53,0,54,0,Callose,1.0,0.0,25.0,681.0,858.0,687.0,863.0,683.76,859.72
54,0,55,0,Callose,1.0,0.0,148.0,624.0,865.0,636.0,882.0,629.77026,872.67566
55,0,56,0,Callose,1.0,0.0,81.0,593.0,880.0,602.0,893.0,597.23456,886.0741
56,0,57,0,Callose,1.0,0.0,74.0,336.0,891.0,343.0,906.0,338.72974,898.1622
57,0,58,0,Callose,1.0,0.0,148.0,612.0,912.0,626.0,926.0,619.1081,918.87164
58,0,59,0,Callose,1.0,0.0,49.0,671.0,927.0,679.0,935.0,674.4286,930.7143
59,0,60,0,Callose,1.0,0.0,66.0,608.0,940.0,618.0,950.0,612.1667,944.6061
60,0,61,0,Callose,1.0,0.0,30.0,760.0,943.0,766.0,950.0,762.3,946.0
61,0,62,0,Callose,1.0,0.0,67.0,75.0,951.0,80.0,967.0,76.80597,957.9552
62,0,63,0,Callose,1.0,0.0,64.0,579.0,987.0,588.0,997.0,582.7656,991.7969
63,0,64,0,Callose,1.0,0.0,39.0,739.0,1006.0,746.0,1013.0,742.12823,1008.87177
64,0,65,0,Callose,1.0,0.0,22.0,754.0,1016.0,760.0,1021.0,756.13635,1018.0
